,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
CHEROKEE JTA,14-Aug,,71113,194-198,20,2,6,116,2,510,32,542,,,,
CHEROKEE JTA,,,71114,194-199,15,2,6,12,2,530,32,562,,,,
LUMBER ONE,31-Jul,,71163,GA26140,22,2,4,8,3,275,275,,,,,
LUMBER ONE,12-Aug,,71164,GA26150,22,2,4,8,3,275,275,,,,,
gswp,,,71165,80261,6,2,6,8,2p,,,,,,,
,,,,,6,2,6,10,2p,,,,,,,
,,,,,6,2,6,12,2p,,,,,,,
LBR ONE,27-Jul,,71169,GA26146,20,2,6,9,4,191,,,,,,
LBR ONE,27-Jul,,71170,GA26147,20,2,6,9,4,191,,,,,,
LBR ONE,14-Aug,,71171,GA26148,20,2,6,9,4,191,,,,,,
LBR ONE,26-Aug,,71172,GA26149,20,2,6,9,4,191,,,,,,
MILLING,28-Jul,,71173,129628,7,2,6,8,3,,900,,,,,
,,,,,3,2,6,10,3,,,,,,,
,,,,,2,2,6,12,3,,,,,,,
,,,,,1,2,6,6,4,,,,,,,
,,,,,1,2,6,8,4,,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,5,2,6,9,4,,,,,,,
MILLING,28-Jul,,71174,129629,1,2,4,10,4,,,,,,,
,,,,,14,2,6,9,4,,,,,,,
,,,,,2,2,6,10,4,,,,,,,
,,,,,2,2,6,12,4,,,,,,,
RICHMOND,11-Aug,,71175,99362,22,2,4,8,3,295,44,339,,,,
RICHMOND,11-Aug,,71176,99363,22,2,4,8,3,295,44,339,,,,
EIGHTYFOUR MANASAS,,71180,10224,HN58239,17,2,4,116,2,420,80,500,,,,
BOISE,4-Aug,,71181,MT72651,7,2,4,92.5,2,700,,,,,,
,,,,,12,2,4,104,2,640,,,,,,
EIGHTY-FOUR ,27-Jul,71183,10225,MJ01075,19,2,6,116,2,525,35,560,,,,
AMERICAN LUMBER,7-Aug,,71182,357568,20,2,6,9,4,200,,,,,,
LMC,27-Jul,71184,10226,10647152,22,2,4,92.5,2,700,30,730,,,,
CHEROKEE IMPERIAL,,,71115,79-130,8,2,4,105-3/8,2,565,,,,,,
,,,,,8,2,6,105,2,565,,,,,,
,,,,,4,2,6,116,2,480,,,,,,
CHEROKEE IMPERIAL,,71116,10299,76-131,4,2,6,116,2,480,,,,,,
,,,,,bal,2,4,116,2,435,,,,,,
MACSOUTH,29-Jul,,71156,17895-1,10,2,4,104-5/8,2,629,16,645,,,,
,,,,,10,2,4,104,2,,,,,,,
MACSOUTH,29-Jul,,71157,17895-2,10,2,6,104-5/8,2,629,16,645,,,,
,,,,,10,2,4,104-5/8,2,,,,,,,
GULF COAST,3-Aug,,71158,4053350,2,2,4,92-5/8,2,675,45,720,,,,
,,,,,4,2,6,92-5/8,2,395,45,440,,,,
,,,,,6,2,4,12,2,530,45,575,,,,
,,,,,5,2,6,12,2,560,45,605,,,,
DO IT BEST,14-Aug,,71159,R025677200,15,2,6,12,2,555,30,,,,,
CHEROKEE,27-Jul,,71166,79-100,15,2,6,12,2,565,42,,,,,
BFS,,,71185,30394436,22,2,4,92.5,2,700,42,,,,,
SHELTER,17-Aug,,71160,1405261,20,2,4,104-5/8,2,630,40,670,,,,
SHELTER,17-Aug,,71161,1405262,21,2,6,104-5/8,2,630,40,670,,,,
SHELTER,24-Aug,,71162,1405263,20,2,4,104-5/8,2,630,40,670,,,,
WOODLANDS,30-Jul,,71167,53333,17,2,4,116-5/8,2,448,42,490,,,,
WOODLANDS,28-Jul,,71168,53334,10,2,6,116-5/8,2,478,42,490,,,,
,,,,,8,2,4,116-5/8,2,448,42,490,,,,
SEA,31-Jul,,71186,85166,30,2,4,6,2,450,,,,,,
CHERO,,,71187,352-19,5,2,6,104,S,440,1000,,,,,
,,,,,1,2,4,104,S,500,,,,,,
MILLING,29-Jul,,71188,129630,9,2,6,8,3,,900,,,,,
,,,,,1,2,6,9,4,,,,,,,
,,,,,5,2,4,6,4,,,,,,,
,,,,,7,2,4,8,4,,,,,,,
,,,,,1,2,4,9,4,,,,,,,
PILCROW,,,71212,STL200728,22,2,6,8,KW,295,,,,,,
SMT,18-Aug,,71213,63858,28,2,6,7,2,370,,,,,,
CHEROKEE MAULDIN,,,71189,351-16,20,2,6,104,2,408,52,460,,,,
CHEROKEE MAULDIN,,,71190,351-17,20,2,6,104,2,410,50,460,,,,
CHEROKEE MAULDIN,,,71191,351-18,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,28-Aug,,71192,351-19,20,2,6,104,2,415,,,,,,
CHEROKEE MAULDIN,,,71193,351-20,20,2,6,104,2,413,,,,,,
CHEROKEE MAULDIN,31-Aug,,71194,351-21,20,2,6,104,2,412,48,460,,,,
CHEROKEE MAULDIN,31-Aug,,71195,351-22,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71196,351-23,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,30-Sep,71197,351-24,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71198,351-25,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71199,351-26,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71200,351-27,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71201,351-28,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71202,351-29,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71203,351-30,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71204,351-31,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71205,351-32,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71206,351-33,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71207,351-34,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71208,351-35,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71209,351-36,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71210,351-37,20,2,6,104,2,415,45,460,,,,
CHEROKEE MAULDIN,,,71211,351-38,20,2,6,104,2,415,45,460,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10228,350-1,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10229,350-2,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10230,350-3,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10231,350-4,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-24,,,10232,350-5,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-24,,,10233,350-6,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper  8-31,,,10234,350-7,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper,,,10235,350-8,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper,,,10236,350-9,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper,,,10237,350-10,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper,,,10238,350-11,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper,,,10239,350-12,20,2,4,104,2,460,35,495,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10240,350-13,20,2,4,116.5,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10241,350-14,18,2,4,116.5,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10242,350-15,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10243,350-16,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10244,350-17,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10245,350-18,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,9-Aug,10246,350-19,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,9-Aug,10247,350-20,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10248,350-21,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10249,350-22,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10250,350-23,21,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10251,350-24,20,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10252,350-25,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10253,350-26,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10254,350-27,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10255,350-28,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10256,350-29,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10257,350-30,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10258,350-31,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10259,350-32,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10260,350-33,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper,,,10261,350-34,22,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10262,350-35,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10263,350-36,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10264,350-37,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10265,350-38,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10266,350-39,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10267,350-40,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10268,350-41,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10269,350-42,20,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10270,350-43,18,2,6,116,2,385,35,420,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10271,350-44,8,2,6,116,2,385,35,420,,,,
,,,,,13,2,6,104,2,420,35,455,,,,
CHEROKEE CHAMBERLAIN paper  8-6,,,10272,350-45,22,3,4,104,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper,,,10273,350-46,22,3,4,104,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper,,,10274,350-47,22,3,4,104,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10275,350-48,20,3,4,116,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper 8-6,,,10276,350-49,20,3,4,116,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10277,350-50,20,3,4,116,2,510,35,545,,,,
CHEROKEE CHAMBERLAIN paper 8-17,,,10278,350-51,20,3,4,116,2,510,35,545,,,,
WOODFORD,,,71214,03-028076,8,2,4,8,2,710,,,,,,
BI,,,10279,80537,5,2,4,104,2,640,,,,,,
,,,,,16,2,6,104,2,645,,,,,,
BI,,1-Sep,10280,80538,6,2,4,104,2,640,,,,,,
,,,,,10,2,4,12,2,550,,,,,,
RICHMOND,12-Aug,,71217,45267,25,2,4,7,2,405,,,,,,
SHERWOOD,24-Aug,15-Sep,10285,W0039241,19,2,4,116,2,500,,,,,,
SHERWOOD,,15-Sep,10286,W0039244,11,2,4,116,2,500,,,,,,
,,,,,8,2,6,116,2,525,,,,,,
SHERWOOD,,15-Sep,10287,W0039245,20,2,6,116,2,525,,,,,,
SHERWOOD,,23-Sep,10288,W0039251,20,2,6,116,2,525,,,,,,
SHERWOOD,,23-Sep,10289,W0039254,20,2,6,116,2,525,,,,,,
BI,29-Jul,,71220,80678,22,2,4,8,1,815,,,,,,
EIGHTYFOUR 1337 GARDEN,,,71291,1J82418,4,2,4,104,2,670,42,712,,,,
,,,,,2,2,4,108,2,530,42,572,,,,
,,,,,3,2,4,116,2,520,42,562,,,,
,,,,,10,2,6,104,2,670,42,712,,,,
RICHMOND bag,29-Jul,,71223,10177,22,2,4,8,1,830,,,,,,
SMT,,,71224,63905,23,2,6,8,1,745,,,,,,
UFPI STEVE 8-17,7-Aug,CAN BE PRIME,71225,22559677,15,2,6,12,1,785,,,,,,
UFPI STEVE 8-17,17-Aug,CAN BE PRIME,71226,22559672,15,2,6,12,1,785,,,,,,
UFPI STEVE 8-17,,CAN BE PRIME,71227,22559608,23,2,6,8,2p,755,,,,,,
EIGHTY FOUR 1622 8-7 or snr,,,71247,MJ01113,19,2,4,92.5,2,750,35,785,,,,
,,,,,2,2,4,104,2,665,35,700,,,,
EIGHTY FOUR 1622 8-7 or snr,17-Aug,,71248,MJ01114,20,2,4,104,2,665,35,700,,,,
EIGHTY FOUR 1622 8-7 or snr,17-Aug,,71249,MJ01115,20,2,4,104,2,665,35,700,,,,
EIGHTY FOUR 1622 8-7 or snr,,,71250,MJ01116,20,2,4,104,2,665,35,700,,,,
SEABOARD INTL,30-Jul,,71229,91865,23,2,6,8,3,295,,,,,,
LBR ONE,19-Aug,,71238,GA26215,22,2,4,8,4,205,,,,,,
LBR ONE,6-Aug,,71239,GA26216,20,2,4,9,4,200,,,,,,
LBR ONE,12-Aug,,71240,GA26217,20,2,4,9,4,200,,,,,,
TAMPA INTL,17-Aug,,71241,15951,14,2,4,12,2,620,,,,,,
AIFP,17-Aug,,71242,57878,23,2,6,8,2,490,,,,,,
LBR ONE,28-Aug,,71228,GA26209,20,2,6,9,4,191,,,,,,
TLC,,,71221,10812,18,2,6,116,2,565,48,613,,,,
TLC,14-Aug,,71230,10825,17,2,4,116,2,530,,,,,,
TLC,,,71231,10826,18,2,6,116,2,550,47,597,,,,
TAMPA INTL 9-1,,28-Aug,71233,16108,20,2,4,104,2,700,,,,,,
TAMPA INTL 9-2,,28-Aug,71234,16109,21,2,6,104,2,700,,,,,,
TAMPA 9-7,,15-Sep,71235,16110,20,2,4,104,2,700,,,,,,
TAMPA 9-7,1-Sep,,71236,16111,21,2,6,104,2,700,,,,,,
TAMPA 9-7,1-Sep,,71237,16112,21,2,6,104,2,700,,,,,,
CHEROKEE 8-3,,,71008,529-17,12,2,4,123-3/4,1,675,45,720,,,,
,,,,,2,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-3,,,71009,529-18,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-3,31-Aug,,71010,529-19,14,2,4,123-3/4,2,675,45,720,,,,
CHEROKEE 8-7,,,71011,529-20,4,2,6,123-3/4,1,740,45,785,,,,
,,,,,11,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-7,,,71012,529-21,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-7,,28-Aug,71013,529-22,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-7,1-Sep,,71014,529-23,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-7,,,71015,529-24,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-7,,,71016,529-25,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-10,,,71017,529-26,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-10,,,71018,529-27,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-10,,,71019,529-28,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-10,,,71020,529-29,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-10,,,71021,529-30,14,2,4,123-3/4,2,480,45,525,,,,
CHEROKEE 8-12,,,71022,529-31,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71023,529-32,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71024,529-33,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71025,529-34,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71026,529-35,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71027,529-36,15,2,6,123-3/4,2,540,45,585,,,,
CHEROKEE 8-12,,,71028,529-37,15,2,6,123-3/4,2,540,45,585,,,,
LBR ONE,7-Aug,,71257,GA26244,23,2,6,8,3,305,,,,,,
SHELTER,10-Aug,,71259,1410393,20,2,4,104-5/8,2,730,40,770,,,,
SHELTER,13-Aug,,71260,1411192,14,2,4,124-5/8,2,625,45,670,,,,
SHELTER,13-Aug,,71261,1411193,15,2,6,124-5/8,2,675,45,720,,,,
MILLING,4-Aug,,71262,129637,2,2,6,8,3,,,,,,,
,,,,,8,2,4,10,4,,,,,,,
,,,,,6,2,4,12,4,,,,,,,
LUMBERMANS,24-Aug,71263,10322,10649832,24,2,6,92-5/8,2,470,80,550,,,,
GULF COAST,17-Aug,71253,10323,4053748,8,2,4,116-5/8,2,548,52,590,,,,
,,,,,9,2,6,116-5/8,2,603,52,645,,,,
GULF COAST,17-Aug,71254,10324,4053749,8,2,6,116-5/8,2,603,52,645,,,,
,,,,,9,2,4,116-5/8,2,548,52,590,,,,
GULF COAST 8-10 savannah,4-Aug,,71255,4057500,20,2,4,104-5/8,2,723,43,766,,,,
GULF COAST 8-10 savannah,4-Aug,,71256,4057501,20,2,4,104-5/8,2,723,43,766,,,,
STRINGFELLOW ,19-Aug,,71251,2110746,23,2,6,8,2,410,,,,,,
STRINGFELLOW ,28-Aug,,71252,2110747,23,2,6,8,2,410,,,,,,
BFS HENDERSONVILLE,24-Aug,,71264,30451565,8,2,4,105,2,565,45,610,,,,
,,,,,2,2,4,8,2,650,45,695,,,,
,,,,,9,2,6,10,2,485,45,530,,,,
BFS,,71266,10330,30453751,22,2,4,104-3/4,2,515,,,,,,
GC,,71253,10323,4053748,19,2,4,116,2,548,42,590,,,,
GC,,71254,10324,4053749,20,2,6,116,2,603,42,645,,,,
SHELTER,,71267,10331,1417516,8,2,4,104,2,740,500,,,,,
SEA BOARD ,,,71268,84552,90,2,6,92.5,2,350,,,,,,
MILLING,5-Aug,,71269,129638,5,2,6,8,3,,900,,,,,
,,,,,1,2,6,12,3,,,,,,,
,,,,,2,2,6,8,4,,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
,,,,,6,2,6,9,4,,,,,,,
,,,,,2,2,4,8,KW,,,,,,,
MILLING,5-Aug,,71270,129639,3,2,4,8,4,,900,,,,,
,,,,,6,2,4,12,4,,,,,,,
,,,,,4,2,4,10,KW,,,,,,,
,,,,,3,2,4,12,KW,,,,,,,
ABS,,,71274,22-4830,11,2,6,104,2,500,20,520,,,,
,,,,,9,2,6,116,2,650,20,670,,,,
EIGHTYFOUR,,28-Aug,71276,MJ01162,20,2,4,104,2,740,30,770,,,,
EIGHTYFOUR,11-Sep,,71277,MJ01163,20,2,4,104,2,740,30,770,,,,
EIGHTYFOUR,,28-Aug,71278,MJ01164,21,2,6,104,2,745,30,775,,,,
EIGHTYFOUR,,22-Sep,71279,MJ01165,6,2,4,104,2,740,30,770,,,,
,,,,,4,2,6,104,2,745,30,775,,,,
,,,,,8,2,6,116,2,635,30,665,,,,
MATHEUS,24-Aug,,71271,9322-02,4,2,6,93,2,445,45,490,,,,
,,,,,7,2,4,93,2,765,45,810,,,,
,,,,,4,2,4,12,2,540,45,585,,,,
,,,,,3,2,6,12,2,600,45,645,,,,
MATHEUS,17-Aug,complete,71272,9322-04,5,2,6,93,2,445,45,490,,,,
,,,,,6,2,4,93,2,765,45,810,,,,
,,,,,4,2,4,12,2,540,45,585,,,,
,,,,,3,2,6,12,2,600,45,645,,,,
MATHEUS,17-Aug,,71273,9332-05,7,2,6,93-3/4,2,445,45,490,,,,
,,,,,7,2,4,93-3/4,2,765,45,810,,,,
,,,,,4,2,4,12,2,540,45,585,,,,
,,,,,1,2,6,12,2,600,45,645,,,,
BFS,24-Aug,,71280,30394952,22,2,4,92.5,2,760,42,,,,,
RICHMOND,,,71281,11363,18,2,4,8,RR,240,,,,,,
RICHMOND,,,71327,11364,19,2,6,8,RR,260,,,,,,
PANAMA PALLET,6-Aug,,71282,8620,10,2,6,8,3,290,,,,,,
,,,,,10,2,6,10,3,320,,,,,,
GARMAR ,28-Aug,,71283,JK 5152,22,2,4,92.5,2,768,,,,,,
SHELTER,,71284,10343,1404072,20,2,4,102-3/4,2,750,,,,,,
GSWP AUG 8-7,14-Aug,,71285,4665200115,22,2,4,8,2P,,,,,,,
GSWP AUG 8-21,25-Aug,,71286,4665200116,22,2,4,8,2P,,,,,,,
GSWP AUG 8-7,,,71287,4665200222,5,2,4,8,2p,,,,,,,
,,,,,5,2,4,10,2p,,,,,,,
,,,,,8,2,4,12,2p,,,,,,,
GSWP AUG 8-14,17-Aug,,71288,4665200223,5,2,4,8,2p,,,,,,,
,,,,,5,2,4,10,2p,,,,,,,
,,,,,8,2,4,12,2p,,,,,,,
GSWP AUG 8-21,20-Aug,,71289,4665200224,5,2,4,8,2p,,,,,,,
,,,,,5,2,4,10,2p,,,,,,,
,,,,,8,2,4,12,2p,,,,,,,
GSWP AUG 8-21,20-Aug,,71290,4665200308,13,2,4,8,2p,,,,,,,
,,,,,9,2,4,10,2p,,,,,,,
GSWP AUG 8-7,6-Aug,,71296,4665200422,4,2,6,8,2p,,,,,,,
,,,,,6,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP AUG 8-21,,,71297,4665200423,4,2,6,8,2p,,,,,,,
,,,,,6,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP AUG 8-28,20-Aug,,71298,4665200424,4,2,6,8,2p,,,,,,,
,,,,,6,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP AUG 8-14,17-Aug,,71299,4665200515,4,2,4,8,2p,received,,,,,,
,,,,,6,2,6,8,2p,,,,,,,
,,,,,5,2,6,10,2p,,,,,,,
,,,,,5,2,6,12,2p,,,,,,,
GSWP AUG 8-28,28-Aug,,71300,4665200516,4,2,4,8,2p,,,,,,,
,,,,,6,2,6,8,2p,,,,,,,
,,,,,5,2,6,10,2p,,,,,,,
,,,,,5,2,6,12,2p,,,,,,,
GSWP AUG 8-7,,,71301,4665200608,8,2,4,10,2p,,,,,,,
,,,,,8,2,4,12,2p,,,,,,,
GSWP AUG 8-14,,,71302,4665200715,9,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP AUG 8-28,,,71303,4665200716,9,2,6,10,2p,,,,,,,
,,,,,8,2,6,12,2p,,,,,,,
GSWP AUG 8-7,,,71304,4665200822,22,2,4,8,2,,,,,,,
GSWP AUG 8-14,17-Aug,,71305,4665200823,22,2,4,8,2,,,,,,,
GSWP AUG 8-28,20-Aug,,71306,4665200824,22,2,4,8,2,,,,,,,
BFS JAX,,,71292,30394600,22,2,4,92.5,2,742,33,775,,,,
BFS JAX,,,71293,30394601,22,2,4,92.5,2,742,33,775,,,,
BFS JAX,,3-Sep,71294,30394602,22,2,4,92.5,2,742,33,775,,,,
LBR ONE,7-Aug,,71307,GA26272,23,2,6,8,3,320,,,,,,
MILLING,7-Aug,,71308,129642,6,2,6,8,3,,,,,,,
,,,,,2,2,6,10,3,,,,,,,
,,,,,2,2,6,12,3,,,,,,,
,,,,,1,2,6,8,4,,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
,,,,,4,2,6,9,4,,,,,,,
MILLLING,7-Aug,,71309,129643,7,2,6,9,4,,900,,,,,
,,,,,2,2,4,8,4,,,,,,,
,,,,,1,2,4,10,4,,,,,,,
,,,,,1,2,4,12,4,,,,,,,
,,,,,1,2,4,8,KW,,,,,,,
,,,,,1,2,4,10,KW,,,,,,,
,,,,,4,2,4,12,KW,,,,,,,
,,,,,1,2,4,9,4,,,,,,,
LBR ONE-ASHFORD,23-Sep,,71325,GA26273,18,2,6,10,3,335,14,349,,,,
SHERWOOD,21-Sep,,71310,W0039368,14,2,4,12,2,580,,,,,,
SHERWOOD,21-Sep,,71311,W0039370,20,2,4,104-5/8,2,750,,,,,,
SHERWOOD,21-Sep,,71312,W0039377,20,2,4,104-5/8,2,750,,,,,,
SHERWOOD,28-Sep,,71313,W0039378,20,2,4,104-5/8,2,750,,,,,,
SHERWOOD,28-Sep,,71314,W0039379,20,2,4,104-5/8,2,750,,,,,,
SHERWOOD,21-Sep,,71315,W0039380,13,2,4,104-5/8,2,750,,,,,,
,,,,,4,2,4,12,2,580,,,,,,
,,,,,1,2,6,8,2,460,,,,,,
SHERWOOD,21-Sep,8-Oct,71316,W0039385,13,2,6,12,2,650,,,,,,
,,,,,3,2,6,104-5/8,2,750,,,,,,
SHERWOOD,21-Sep,,71317,W0039386,21,2,6,104-5/8,2,750,,,,,,
SHERWOOD,21-Sep,,71318,W0039387,21,2,6,104-5/8,2,750,,,,,,
SHERWOOD,21-Sep,,71319,W0039388,21,2,6,104-5/8,2,750,10600 Lexington Drive,,,,,
SHERWOOD,28-Sep,,71320,W0039389,21,2,6,104-5/8,2,750,Knoxville TN.  37932,,,,,
SHERWOOD,21-Sep,,71321,W0039390,19,2,6,104-5/8,2,750,  865 – 567 – 3488    to meet trucks there and be unloaded.,,,,,
,,,,,1,2,4,12,2,580,,,,,,
SHERWOOD,21-Sep,18-Sep,71322,W0039391,0,2,4,12,2,580,,,,,,
,,,,,22,2,4,92-5/8,2,770,,,,,,
SHERWOOD,21-Sep,18-Sep,71323,W0039392,22,2,4,92-5/8,2,770,,,,,,
SHERWOOD,28-Sep,,71324,W0039393,0,2,4,93-5/8,2,770,,,,,,
SHERWOOD,,,,,14,2,4,12,2,580,16,596,,,,
AMERICAN LUMBER,1-Sep,,71326,358709,20,2,6,9,4,255,,,,,,
GSWP,10-Aug,,71328,84686,23,2,6,8,2P,775,,,,,,
GSWP,10-Aug,,71329,84687,23,2,6,8,2P,775,,,,,,
GSWP,10-Aug,,71330,84688,15,2,6,12,2P,875,,,,,,
GSWP,10-Aug,,71331,84688,15,2,6,12,2P,875,,,,,,
ABS,10-Aug,,71332,22-4861,20,2,4,104-5/8,2,775,,,,,,
CHEROKEE,10-Aug,,71333,175-132,14,2,4,12,2,665,,,,,,
CHEROKEE,17-Aug,,71354,175-131,14,2,4,12,2,665,,,,,,
SHELTER,13-Aug,,71334,1405272,20,2,4,104-5/8,2,750,40,790,,,,
UNITED LUMBER,17-Aug,,71335,88530,20,2,4,9,4,235,,,,,,
PILCROW,12-Aug,,71336,STL200810-A,20,2,6,8,KW,330,,,,,,
PILCROW,12-Aug,,71337,STL200810-B,20,2,6,8,KW,330,,,,,,
CHEROKEE,18-Aug,,71338,529-42,14,2,4,12,2,665,45,,,,,
SMT,17-Aug,,71339,64372,20,2,4,9,4,235,,,,,,
GULF COAST,17-Aug,,71340,4058283,14,2,4,12,2,687,38,,,,,
MACSOUTH,11-Aug,,71341,17914,10,2,4,104-5/8,2,775,,,,,,
MILLING,11-Aug,,71342,129644,2,2,4,8,4,,,,,,,
,,,,,2,2,4,10,4,,,,,,,
,,,,,3,2,4,12,4,,,,,,,
,,,,,1,2,4,10,KW,,,,,,,
